bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.695671,,,,,,,,,,b808e72f-e93e-493a-9260-8029cd129b98,18,,,"[30.6, 4.1]",3857262,0,,,,,0.27341926,,Left Foot,,,,"[57.7, 11.7]",,High Pass,,28.145515,,,,Heung-Min Son,3083.0,,,,,,1,From Kick Off,Young-Gwon Kim,5604.0,Left Center Back,2,South Korea,791,['bcbc6dd0-50d9-4058-9a94-31bf19f7e4eb'],12,,,,,,,,,,,,,,,,,South Korea,791,00:00:12.629,Pass,
,,,,,,,,,,,,,,,,,0.979223,,,,,,,,,,95dad069-0229-40d3-9485-c2aa34663b23,23,,,"[57.6, 21.3]",3857262,0,,,,,-2.0844023,,Right Foot,,,,"[51.0, 9.6]",,High Pass,,13.433167,,,,Kang-In Lee,22740.0,,,,,,1,From Kick Off,Heung-Min Son,3083.0,Left Wing,2,South Korea,791,"['8273ea3a-a010-409d-b92f-d527d8757935', '88758b08-04ef-415b-875a-07cbbfb77fdf']",14,,,,,,,,,,,,,,,,,South Korea,791,00:00:14.977,Pass,True
,,,,,,,,,,,,,,,,,2.048376,,,,,,,,,,848d8a1d-3c83-45d1-b022-6a284e4da4e1,28,,,"[62.1, 10.3]",3857262,0,,,,,1.2332652,,Left Foot,,,,"[69.4, 31.1]",,Ground Pass,,22.04382,,Incomplete,,Heung-Min Son,3083.0,,,,,,1,From Kick Off,Kang-In Lee,22740.0,Left Center Midfield,2,South Korea,791,"['4c6ee025-ae3b-4ce0-aea5-30458d97a405', 'eb0925a7-61d5-427c-9997-ab3ae0e0cf99']",18,,,,,,,,,,,,,,,,,South Korea,791,00:00:18.425,Pass,
,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,16dedde1-7228-4b56-9351-f5420e99f470,35,,,"[70.1, 33.0]",3857262,0,,True,,,-2.3454423,,Right Foot,,,,"[65.5, 28.3]",,Ground Pass,,6.576473,,,,Woo-Young Jung,5618.0,,,,,Free Kick,1,From Free Kick,Kang-In Lee,22740.0,Left Center Midfield,3,South Korea,791,['1ebd6866-51ae-418c-8f60-8167a8335b1c'],25,,,,,,,,,,,,,,,,,South Korea,791,00:00:25.305,Pass,
,,,,,,,,,,,,,,,,,0.85169,,,,,,,,,,a98957cf-0924-41a1-b232-3e13f913bedf,37,,,"[65.1, 29.3]",3857262,0,,True,,,1.6172744,,Right Foot,,,,"[64.7, 37.9]",,Ground Pass,,8.609298,,,,In-Beom Hwang,23763.0,,,,,,1,From Free Kick,Woo-Young Jung,5618.0,Center Defensive Midfield,3,South Korea,791,['51bf34cb-27ad-49fb-8959-a90ea8c9db6f'],25,,,,,,,,,,,,,,,,,South Korea,791,00:00:25.785,Pass,
,,,,,,,,,,,,,,,,,1.535812,,,,,,,,,,a61ae135-adbc-43fd-9b4c-f1714168b28b,40,,,"[63.7, 38.0]",3857262,0,,,,,2.2807078,,Left Foot,,,,"[47.2, 57.2]",,Ground Pass,,25.315805,,,,Kyung-Won Kwon,40564.0,,,,,,1,From Free Kick,In-Beom Hwang,23763.0,Right Center Midfield,3,South Korea,791,['270ea87e-098e-4ce8-9cab-4c757eb4f9a4'],27,,,,,,,,,,,,,,,,,South Korea,791,00:00:27.259,Pass,
,,,,,,,,,,,,,,,,,1.12337,,,,,,,,,,ad326d36-ae52-4e00-828d-98403396cf9d,43,,,"[48.1, 59.3]",3857262,0,,,,,1.2160907,,Left Foot,,,,"[52.1, 70.1]",,Ground Pass,,11.516944,,,,Moon-Hwan Kim,40672.0,,,,,,1,From Free Kick,Kyung-Won Kwon,40564.0,Right Center Back,3,South Korea,791,['b0eff1f0-4de8-4168-aece-47380ff0fc76'],29,,,,,,,,,,,,,,,,,South Korea,791,00:00:29.468,Pass,
,,,,,,,,,,,,,,,,,2.436504,,,,,,,,,,c1d44453-0874-4bef-abdb-0d429ae4b26c,46,,,"[52.2, 69.6]",3857262,0,,,,,-2.7043178,,Right Foot,,,,"[35.3, 61.7]",,Ground Pass,,18.655294,,,,Kyung-Won Kwon,40564.0,,,,,,1,From Free Kick,Moon-Hwan Kim,40672.0,Right Back,3,South Korea,791,['bb01e698-2dc4-4cad-ab84-851daad09afa'],31,,,,,,,,,,,,,,,,,South Korea,791,00:00:31.598,Pass,
,,,,,,,,,,,,,,,,,2.799777,,,,,,,,,,83b7e6f9-cd8c-4df3-b7af-699d6f4537a5,49,,,"[33.9, 59.4]",3857262,0,,,,,-1.5154074,,Left Foot,,,,"[36.7, 8.9]",,Ground Pass,,50.577564,,,,Young-Gwon Kim,5604.0,,True,,,,1,From Free Kick,Kyung-Won Kwon,40564.0,Right Center Back,3,South Korea,791,['55abad3c-d193-4679-91c1-e47c750b2781'],36,,,,,,,,,,,,,,,,,South Korea,791,00:00:36.301,Pass,
,,,,,,,,,,,,,,,,,1.121675,,,,,,,,,,bc18c4f2-98e8-4d1e-a9a6-9610d4a536a4,52,,,"[43.5, 9.9]",3857262,0,,,,,0.30587888,,Left Foot,,,,"[54.9, 13.5]",,Ground Pass,,11.954915,,,,Kang-In Lee,22740.0,,,,,,1,From Free Kick,Young-Gwon Kim,5604.0,Left Center Back,3,South Korea,791,['0bb7d413-adf9-49ab-9d7c-9ae750e7d47a'],40,,,,,,,,,,,,,,,,,South Korea,791,00:00:40.560,Pass,
